Date,Description,Amount
25/08/2025,Bwh Port Elizabeth,-960.00
26/08/2025,Bocadillos On Moffet,-200.00
27/08/2025,Superspar Mount Pleas,-148.15
28/08/2025,Beesbaasbutchery,-330.48
28/08/2025,Flavours Coffee Shop,-216.00
29/08/2025,Woolworths,-430.88
29/08/2025,Anca Foods,-338.10
30/08/2025,Thmfoodtruck,-129.00
31/08/2025,Yoco Melt Bistro,-230.00
31/08/2025,C Prestons Mount Pleasant,-439.90
01/09/2025,Netflix.com,-179.00
01/09/2025,International Txn Fee,-4.48
01/09/2025,Bwh Port Elizabeth,-262.20
01/09/2025,Brioche Food And Coffe,-230.00
02/09/2025,Raak,-74.00
03/09/2025,C Best Drive Walmer,-1140.00
03/09/2025,Woolworths,-542.38
03/09/2025,Bwh Port Elizabeth,-412.20
04/09/2025,West Pack Lifestyle Po,-94.80
04/09/2025,Woolworths,-67.99
05/09/2025,C Cafe Capellini Walmer,-210.00
05/09/2025,Cash Finance Charge,-14.33
25/09/2025,Fund Transfers,5000.00
05/09/2025,Dischem Walmer Park,-84.94
05/09/2025,Checkers Moffet on Mai,-441.41
07/09/2025,Superspar Mount Pleas,-155.74
07/09/2025,Payfast Fines Sa Pty L,-450.00
07/09/2025,Brioche Food And Coffe,-232.00
08/09/2025,Woolworths,-277.96
08/09/2025,Superspar Mount Pleas,-63.22
08/09/2025,Raak,-160.00
08/09/2025,Beesbaasbutchery,-142.80
09/09/2025,Bigg Save William Moff,-102.50
10/09/2025,Raak,-143.00
10/09/2025,Fishfinder,-330.00
11/09/2025,Bwh Port Elizabeth,-199.00
11/09/2025,Flavours Coffee Shop,-208.00
12/09/2025,Checkers Moffet on Mai,-466.49
13/09/2025,C Calzonis Pizzeria,-140.00
16/09/2025,C Cafe Capellini Walmer,-210.00
16/09/2025,C Prestons Mount Pleasant,-339.90
16/09/2025,Superspar Mount Pleas,-210.45
17/09/2025,Woolworths,-140.16
17/09/2025,Dischem Walmer Park,-1231.69
18/09/2025,West Pack Lifestyle Po,-49.80
18/09/2025,Woolworths,-84.99
18/09/2025,Woolworths,-94.99
25/09/2025,Takealot,-299.00
25/09/2025,Mambos Pe Moffat Inn,-206.96
19/09/2025,Woolworths,-160.91
19/09/2025,Tk Barn and Barrel,-400.00
20/09/2025,Flm William Moffet,-494.47
20/09/2025,C Jkm Bakery,-70.00
20/09/2025,Anca Foods,-88.30
21/09/2025,Woolworths,-73.98
23/09/2025,Raak,-156.00
24/09/2025,Superspar Village Squ,-164.84
24/09/2025,Crossways Country Kitc,-64.00
24/09/2025,Bruces Ocean Cafe,-250.00
25/09/2025,C Prestons Mount Pleasant,-339.90
25/09/2025,Raak,-94.00
26/09/2025,Woolworths,-515.91
27/09/2025,Woolworths,-96.98
27/09/2025,C Calzonis Pizzeria,-140.00
28/09/2025,Woolworths,-287.96
30/09/2025,Raak,-204.00
01/10/2025,Netflix.com,-179.00
01/10/2025,International Txn Fee,-4.48
02/10/2025,West Pack Lifestyle Po,-99.80
03/10/2025,Bwh Port Elizabeth,-119.00
03/10/2025,Checkers Moffet on Mai,-744.81
04/10/2025,Yoco Le Croissant,-55.00
05/10/2025,Woolworths,-281.91
06/10/2025,Cash Finance Charge,-5.36
06/10/2025,Finance Charge,-182.52
